Canal;Detergente Concentrado;Lavandina;Lavavajilla;Líquido Desinfectante / Limpiador;Líquido Lavar Ropa;Suavizante
Grandes Clientes;0,0;29,128771589383813;19,72723837143869;43,29083872068352;2,960525146693488;4,892626171800495
Maxiconsumo;4,077102308419955;36,56647934644721;19,89782267658192;24,061088062271345;8,514305848708748;6,883201757570825
Red Propia;3,5977187542900255;42,542056189769;17,15179605223439;20,857378305554796;9,016081082588062;6,834969615563723
